race,party,candidate,votes,proportion
President / Vice President,D,Hillary Rodham Clinton,427005,0.36
President / Vice President,R,Donald J. Trump,671018,0.566
President / Vice President,L,Gary Johnson,55406,0.046
President / Vice President,O,Jill Stein,23506,0.019
President / Vice President,O,Andrew D. Basiago,6,0
President / Vice President,O,Darrell L Castle,646,0
President / Vice President,O,Rocky Roque De La Fuente,3,0
President / Vice President,O,Rocky Giordani,0,0
President / Vice President,O,James A Hedges,3,0
President / Vice President,O,Tom Hoefling,45,0
President / Vice President,O,Lynn Kahn,2,0
President / Vice President,O,Gloria La Riva,7,0
President / Vice President,O,Michael S. Levinson,0,0
President / Vice President,O,Michael A Maturen,214,0
President / Vice President,O,Evan McMullin,6520,0.005
President / Vice President,O,Monica G. Moorehead,0,0
President / Vice President,O,Darryl Perry,1,0
President / Vice President,O,Marshall R. Schoenke,0,0
President / Vice President,O,Joe C Schriner,3,0
President / Vice President,O,Mike Smith,6,0
President / Vice President,O,Ajay Sood,10,0
President / Vice President,O,Shawna Sterling,1,0
President / Vice President,O,Anthony J Valdivia,0,0
President / Vice President,O,J.J. Vogel-Walcutt,0,0
President / Vice President,O,Demetra Jefferson Wysinger,0,0
United States Senate,D,Patrick Wiesner,379740,0.322
United States Senate,R,Jerry Moran,732376,0.621
United States Senate,L,Robert D. Garrard,65760,0.055
United States Senate,O,DJ Smith,46,0
United States House of Representatives 001,R,Roger Marshall,169992,0.658
United States House of Representatives 001,L,Kerry Burt,19366,0.075
United States House of Representatives 001,O,Alan LaPolice,67739,0.262
United States House of Representatives 001,O,Tim Huelskamp,874,0.003
United States House of Representatives 002,D,Britani Potter,96840,0.325
United States House of Representatives 002,R,Lynn Jenkins,181228,0.609
United States House of Representatives 002,L,James Houston Bales,19333,0.065
United States House of Representatives 003,D,Jay Sidie,139300,0.405
United States House of Representatives 003,R,Kevin Yoder,176022,0.513
United States House of Representatives 003,L,Steven A. Hohe,27791,0.08
United States House of Representatives 004,D,Daniel B. Giroux,81495,0.296
United States House of Representatives 004,R,Michael Pompeo,166998,0.606
United States House of Representatives 004,L,Gorden J. Bakken,7737,0.028
United States House of Representatives 004,O,Miranda Allen,19021,0.069
Kansas Senate 001,D,Jerry Henry,13076,0.416
Kansas Senate 001,R,Dennis D. Pyle,18283,0.583
Kansas Senate 002,D,Marci Francisco,24147,0.661
Kansas Senate 002,R,Meredith Richey,12378,0.338
Kansas Senate 003,D,Tom Holland,17214,0.515
Kansas Senate 003,R,Echo Van Meteren,16189,0.484
Kansas Senate 004,D,David Haley,17090,1
Kansas Senate 005,D,Bill Hutton,12828,0.49
Kansas Senate 005,R,Steve Fitzgerald,13336,0.509
Kansas Senate 006,D,Pat Pettey,12640,0.708
Kansas Senate 006,L,Jason Conley,5213,0.291
Kansas Senate 007,D,Megan England,18884,0.456
Kansas Senate 007,R,Barbara Bollier,22439,0.543
Kansas Senate 008,D,Don McGuire,17758,0.472
Kansas Senate 008,R,Jim Denning,19847,0.527
Kansas Senate 009,D,Chris Morrow,13708,0.399
Kansas Senate 009,R,Julia Lynn,20574,0.6
Kansas Senate 010,D,Vicki Hiatt,17722,0.486
Kansas Senate 010,R,Mary Pilcher Cook,18673,0.513
Kansas Senate 011,D,Skip Fannen,13983,0.349
Kansas Senate 011,R,John Skubal,25992,0.65
Kansas Senate 012,D,Christopher B. Johnston,6918,0.266
Kansas Senate 012,R,Caryn Tyson,18998,0.733
Kansas Senate 013,D,Lynn D. Grant,12291,0.438
Kansas Senate 013,R,Jake LaTurner,15737,0.561
Kansas Senate 014,D,Mark Pringle,7702,0.273
Kansas Senate 014,R,Bruce Givens,20452,0.726
Kansas Senate 015,D,Chuck Schmidt,9963,0.391
Kansas Senate 015,R,Dan Goddard,15511,0.608
Kansas Senate 016,D,Gabriel Costilla,11467,0.353
Kansas Senate 016,R,Ty Masterson,20980,0.646
Kansas Senate 017,D,Susan G Fowler,9147,0.41
Kansas Senate 017,R,Jeff Longbine,13161,0.589
Kansas Senate 018,D,Laura Kelly,15007,0.516
Kansas Senate 018,R,Dave Jackson,14076,0.483
Kansas Senate 019,D,Anthony Hensley,16181,0.572
Kansas Senate 019,R,Zach Haney,12068,0.427
Kansas Senate 020,D,Candace Ayars,11775,0.346
Kansas Senate 020,R,Vicki L. Schmidt,22216,0.653
Kansas Senate 021,D,Logan Heley,15287,0.424
Kansas Senate 021,R,Dinah H. Sykes,18149,0.503
Kansas Senate 021,L,Michael Kerner,2617,0.072
Kansas Senate 022,D,Tom Hawk,20849,1
Kansas Senate 023,D,Spencer Kerfoot,12551,0.394
Kansas Senate 023,R,Rob Olson,19277,0.605
Kansas Senate 024,D,Donald R. Merriman,11228,0.409
Kansas Senate 024,R,Randall R. Hardy,16195,0.59
Kansas Senate 025,D,Lynn W. Rogers,11704,0.584
Kansas Senate 025,R,Jim Price,8308,0.415
Kansas Senate 026,D,Benjamin Poteete,8911,0.305
Kansas Senate 026,R,Dan Kerschen,20274,0.694
Kansas Senate 027,D,Tony Hunter,11209,0.334
Kansas Senate 027,R,Gene Suellentrop,22252,0.665
Kansas Senate 028,D,Keith Humphrey,9353,0.485
Kansas Senate 028,R,Mike Petersen,9915,0.514
Kansas Senate 029,D,Oletha Faust Goudeau,14511,1
Kansas Senate 030,D,Anabel Larumbe,11786,0.414
Kansas Senate 030,R,Susan Wagle,16636,0.585
Kansas Senate 031,D,J. Michelle Vann,8026,0.254
Kansas Senate 031,R,Carolyn McGinn,23463,0.745
Kansas Senate 032,D,Don Shimkus,9844,0.377
Kansas Senate 032,R,Larry W. Alley,16221,0.622
Kansas Senate 033,D,Matt Bristow,6467,0.234
Kansas Senate 033,R,Mary Jo Taylor,21114,0.765
Kansas Senate 034,D,Homer L. Gilson,4664,0.177
Kansas Senate 034,R,Edward E. Berger,21559,0.822
Kansas Senate 035,D,Levi Morris,8538,0.286
Kansas Senate 035,R,Richard Wilborn,21271,0.713
Kansas Senate 036,D,Brian G. Angevine,4686,0.148
Kansas Senate 036,R,Elaine S. Bowers,26816,0.851
Kansas Senate 037,D,Kevin King,11709,0.319
Kansas Senate 037,R,Molly Baumgardner,24965,0.68
Kansas Senate 038,D,Miguel Angel Rodriguez,4130,0.242
Kansas Senate 038,R,Bud Estes,12884,0.757
Kansas Senate 039,D,A. Zacheriah Worf,3421,0.165
Kansas Senate 039,R,John Doll,17231,0.834
Kansas Senate 040,D,Alex Herman,8308,0.257
Kansas Senate 040,R,Richard (Rick) Billinger,23964,0.742
Kansas House of Representatives 001,R,Michael Houser,7467,1
Kansas House of Representatives 002,D,Adam J. Lusker Sr.,7747,1
Kansas House of Representatives 003,D,Monica Murnan,4351,0.524
Kansas House of Representatives 003,R,Charles (Chuck) Smith,3939,0.475
Kansas House of Representatives 004,R,Trevor Jacobs,8224,1
Kansas House of Representatives 005,D,Doug Walker,3748,0.408
Kansas House of Representatives 005,R,Kevin Jones,5423,0.591
Kansas House of Representatives 006,D,Christy C. Levings,4490,0.412
Kansas House of Representatives 006,R,Jene Vickrey,6397,0.587
Kansas House of Representatives 007,R,Richard J. Proehl,7380,1
Kansas House of Representatives 008,D,Ben Chociej,3550,0.272
Kansas House of Representatives 008,R,Patty Markley,9493,0.727
Kansas House of Representatives 009,R,Kent L. Thompson,6321,0.758
Kansas House of Representatives 009,L,Patrick McMurray,2011,0.241
Kansas House of Representatives 010,D,John Wilson,8466,1
Kansas House of Representatives 011,R,Jim Kelly,6570,1
Kansas House of Representatives 012,D,Jean Kurtis Schodorf,2661,0.3
Kansas House of Representatives 012,R,Doug Blex,6182,0.699
Kansas House of Representatives 013,R,Larry P. Hibbard,8202,1
Kansas House of Representatives 014,D,Merlin Ring,5292,0.42
Kansas House of Representatives 014,R,Keith Esau,7291,0.579
Kansas House of Representatives 015,D,R. Paul McCorkle,3559,0.415
Kansas House of Representatives 015,R,Erin L. Davis,5014,0.584
Kansas House of Representatives 016,D,Cindy Holscher,6847,0.557
Kansas House of Representatives 016,R,Amanda Grosserode,5443,0.442
Kansas House of Representatives 017,D,Helen M. Stoll,5333,0.433
Kansas House of Representatives 017,R,Tom Cox,6972,0.566
Kansas House of Representatives 018,D,Cindy Neighbor,6230,0.523
Kansas House of Representatives 018,R,Eric A. Jenkins,5668,0.476
Kansas House of Representatives 019,D,Elizabeth A Meitl,4639,0.336
Kansas House of Representatives 019,R,Stephanie Clayton,8325,0.604
Kansas House of Representatives 019,L,John Taube,806,0.058
Kansas House of Representatives 020,D,Christopher McQueeny,4944,0.35
Kansas House of Representatives 020,R,Jan H. Kessinger,9153,0.649
Kansas House of Representatives 021,D,Jerry Stogsdill,7408,0.546
Kansas House of Representatives 021,R,Dorothy Hughes,6141,0.453
