race,party,candidate,votes,proportion
United States Senate,D,Chad  Taylor,35067,0.532
United States Senate,D,Patrick  Wiesner,30752,0.467
United States Senate,R,Pat  Roberts,127089,0.48
United States Senate,R,D.J.  Smith,15288,0.057
United States Senate,R,Milton  Wolf,107799,0.407
United States Senate,R,Alvin E. Zahnter,14164,0.053
United States House of Representatives 004,D,Perry L. Schuckman,11408,1
United States House of Representatives 004,R,Mike  Pompeo,43564,0.626
United States House of Representatives 004,R,Todd  Tiahrt,25977,0.373
United States House of Representatives 003,D,Kelly  Kultala,14189,0.685
United States House of Representatives 003,D,Reginald (Reggie)  Marselus,6524,0.314
United States House of Representatives 003,R,Kevin  Yoder,47319,1
United States House of Representatives 002,D,Margie  Wakefield,18337,1
United States House of Representatives 002,R,Lynn  Jenkins,41850,0.691
United States House of Representatives 002,R,Joshua Joel Tucker,18680,0.308
United States House of Representatives 001,D,James E. Sherow,8209,0.656
United States House of Representatives 001,D,Bryan R. Whitney,4293,0.343
United States House of Representatives 001,R,Tim  Huelskamp,42847,0.549
United States House of Representatives 001,R,Alan  LaPolice,35108,0.45
State Treasurer,D,Carmen  Alldritt,58570,1
State Treasurer,R,Ron  Estes,220859,1
Secretary of State,D,Jean Kurtis Schodorf,59822,1
Secretary of State,R,Kris  Kobach,166793,0.647
Secretary of State,R,Scott  Morgan,90680,0.352
Kansas Senate 037,R,Molly  Baumgardner,4042,0.599
Kansas Senate 037,R,Charlotte  O'Hara,2702,0.4
Kansas Senate 035,R,Marshall  Christmann,1646,0.167
Kansas Senate 035,R,Donald  Hobson,2851,0.289
Kansas Senate 035,R,Nick  Reinecker,517,0.052
Kansas Senate 035,R,James E. Toews,884,0.089
Kansas Senate 035,R,Richard  Wilborn,3949,0.401
Kansas House of Representatives 125,R,Shannon G. Francis,1094,0.634
Kansas House of Representatives 125,R,Jim  Rice,631,0.365
Kansas House of Representatives 124,R,J. Stephen Alford,2331,1
Kansas House of Representatives 123,R,John  Doll,1382,1
Kansas House of Representatives 122,R,"J. Russell ""Russ"" Jennings",1499,0.647
Kansas House of Representatives 122,R,Stan  Rice,816,0.352
Kansas House of Representatives 121,D,Gary  Smith,358,1
Kansas House of Representatives 121,R,S. Mike Kiegerl,1611,1
Kansas House of Representatives 120,R,Richard (Rick)  Billinger,2197,0.602
Kansas House of Representatives 120,R,Adam W. Smith,1447,0.397
Kansas House of Representatives 119,D,John E. Thomas,216,1
Kansas House of Representatives 119,R,Bud  Estes,1157,1
Kansas House of Representatives 118,R,Don  Hineman,3229,1
Kansas House of Representatives 117,R,John L. Ewy,2849,0.875
Kansas House of Representatives 117,R,M.T.  Liggett,405,0.124
Kansas House of Representatives 116,R,Kyle D Hoffman,2585,1
Kansas House of Representatives 115,D,Mark  Low,257,1
Kansas House of Representatives 115,R,Ronald W Ryckman Sr.,1924,1
Kansas House of Representatives 114,D,Mark  Schnittker,455,1
Kansas House of Representatives 114,R,Jack  Thimesch,2501,1
Kansas House of Representatives 113,R,"Jeremy ""Basil"" Dannebohm",2635,1
Kansas House of Representatives 112,D,Steve  Muehleisen,358,1
Kansas House of Representatives 112,R,John  Edmonds,2299,1
Kansas House of Representatives 111,D,James A. Leiker,604,1
Kansas House of Representatives 111,R,Sue E. Boldra,1551,1
Kansas House of Representatives 110,R,Travis  Couture-Lovelady,2743,1
Kansas House of Representatives 109,R,Troy L. Waymaster,3293,1
Kansas House of Representatives 108,R,Steven  Johnson,2686,1
Kansas House of Representatives 107,R,Susan L. Concannon,3024,1
Kansas House of Representatives 106,R,Sharon J. Schwartz,2868,1
Kansas House of Representatives 105,D,Sherry  Livingston,339,1
Kansas House of Representatives 105,R,Mark Edward Hutton,1320,1
Kansas House of Representatives 104,R,Steven R. Becker,2603,1
Kansas House of Representatives 103,D,Ponka-We  Victors,207,1
Kansas House of Representatives 102,D,Brian E. Davis,446,0.762
Kansas House of Representatives 102,D,Chris  Givan,139,0.237
Kansas House of Representatives 102,R,Jan  Pauls,777,1
Kansas House of Representatives 101,R,Joe  Seiwert,2442,1
Kansas House of Representatives 100,D,John Wallace Willoughby,328,1
Kansas House of Representatives 100,R,Dan  Hawkins,2331,1
Kansas House of Representatives 099,R,Randy J. Banwart,1538,0.477
Kansas House of Representatives 099,R,Dennis E. Hedke,1686,0.522
Kansas House of Representatives 098,D,Eric  Bell,124,0.307
Kansas House of Representatives 098,D,Steven G. Crum,279,0.692
Kansas House of Representatives 098,R,Steven  Anthimides,897,1
Kansas House of Representatives 097,R,Leslie G. Osterman,816,0.57
Kansas House of Representatives 097,R,Michael E. Walker,614,0.429
Kansas House of Representatives 096,D,Brandon  Whipple,397,1
Kansas House of Representatives 096,R,Christopher K. Brown,368,0.387
Kansas House of Representatives 096,R,Rick  Lindsey,581,0.612
Kansas House of Representatives 095,D,Tom  Sawyer,369,1
Kansas House of Representatives 095,R,Benny  Boman,770,1
Kansas House of Representatives 094,R,Mario  Goico,2297,1
Kansas House of Representatives 093,D,Sammy K. Flaharty,319,1
Kansas House of Representatives 093,R,George F. (Joe) Edwards II,935,0.454
Kansas House of Representatives 093,R,John  Whitmer,1124,0.545
Kansas House of Representatives 092,D,John  Carmichael,532,1
Kansas House of Representatives 092,R,Jeremy  Alessi,1055,0.637
Kansas House of Representatives 092,R,Jason Paul Dean,600,0.362
